m.NAME, 20-101, 20-102, 20-104, 20-106, 20-107, 20-110, 20-112, 20-114, 20-117, 20-118, 20-119, 20-121, 20-126, 20-128, 20-129, 20-132, 20-134, 20-136, 20-138, 20-147, 20-148, 20-151, 20-153, 20-155, 20-158, 20-159, 20-160, 20-164, 20-166, 20-167, 20-168, 20-170, 20-171, 20-173, 20-174, 20-176, 20-177, 20-178, 20-181, 20-182, 20-184, 20-185, 20-186, 20-187, 20-48, 20-49, 20-52, 20-53, 20-55, 20-56, 20-57, 20-59, 20-61, 20-62, 20-63, 20-64, 20-66, 20-67, 20-69, 20-70, 20-72, 20-76, 20-77, 20-78, 20-81, 20-83, 20-84, 20-89, 20-90, 20-91, 20-93, 20-94, 20-95, 20-96, 20-97, 20-99, 21-103, 21-105, 21-108, 21-109, 21-111, 21-113, 21-115, 21-116, 21-120, 21-122, 21-123, 21-124, 21-127, 21-130, 21-131, 21-133, 21-135, 21-137, 21-139, 21-140, 21-141, 21-142, 21-143, 21-144, 21-145, 21-146, 21-149, 21-150, 21-152, 21-154, 21-156, 21-157, 21-161, 21-162, 21-163, 21-165, 21-43, 21-46, 21-47, 21-50, 21-51, 21-54, 21-58, 21-60, 21-65, 21-68, 21-71, 21-73, 21-74, 21-79, 21-80, 21-82, 21-85, 21-86, 21-87, 21-88, 21-92, 23-169, 23-183, 23-41, 24-172, 24-175, 24-179, 24-180, 24-40, 24-42, 25-100, 25-125, 25-44, 25-45, 25-75, 25-98, 26-04, 26-05, 26-06, 26-07, 26-08, 26-11, 26-12, 26-13, 26-14, 26-15, 26-16, 26-17, 26-18, 26-19, 26-21, 26-22, 26-23, 26-26, 26-27, 26-28, 26-29, 26-30, 26-32, 26-33, 26-34, 26-36, 26-38, 26-39, 27-20, 27-25, 27-35, 27-37, 28-01, 28-31, 29-10, 29-24, 31-03, 31-09, 33-00, 33-02
"Poolman2004_CalvinCycle", 478, 393, 358, 158, 421, 264, 614, 184, 233, 225, 620, 389, 320, 320, 332, 382, 160, 194, 208, 291, 328, 202, 244, 357, 228, 221, 304, 320, 174, 190, 512, 158, 180, 167, 193, 132, 183, 218, 322, 226, 480, 234, 178, 110, 400, 395, 224, 173, 580, 335, 860, 320, 341, 237, 311, 243, 472, 311, 431, 278, 358, 398, 433, 264, 405, 394, 351, 368, 588, 580, 230, 494, 1110, 344, 420, 442, 354, 194, 334, 123, 196, 294, 214, 387, 175, 315, 244, 419, 175, 331, 145, 195, 219, 121, 167, 216, 170, 178, 110, 118, 154, 90, 191, 123, 286, 360, 160, 178, 258, 257, 158, 187, 0, 277, 287, 312, 582, 259, 274, 207, 262, 251, 248, 207, 290, 329, 250, 433, 233, 285, 228, 270, 120, 40, 20, 20, 22, 12, 18, 28, 16, 18, 672, 180, 180, 340, 360, 180, 79, 120, 42, 81, 142, 109, 157, 170, 97, 206, 135, 108, 106, 12, 177, 191, 121, 70, 102, 132, 366, 201, 158, 130, 247, 183, 139, 303, 126, 151, 104, 190, 48, 72, 99, 72, 62, 51, 37, 33
"Levchenko2000_MAPK_Scaffold", 1333192, 1848899, 1274067, 1193310, 1159879, 1562424, 22881375, 2473286, 9176011, 83425367, 2805719, 273330, 2867680, 24023914, 3114626, 2579496, 88874612, 2518966, 10722068, 1977860, 10743198, 8568778, 12630872, 6503126, 22551118, 194996, 15540598, 2946730, 14813902, 1235196, 99962308, 183673, 1261854, 17040798, 205311, 161793, 29784, 1840992, 8690713, 10767058, 12026352, 1133662, 1852538, 951515, 183607, 1159355, 259980, 1480646, 3519378, 1296352, 14457412, 24028096, 1306899, 7265609, 1943187, 17949376, 9067772, 90774479, 8490952, 73688732, 8922106, 1647263, 12036209, 14646908, 1391892, 6904278, 1093079, 1478962, 13039946, 3535886, 1290670, 1377148, 3354317, 9294711, 215639, 11531318, 1329060, 170547, 223662, 22577, 1661231, 1017233, 1913014, 1883635, 26402, 200777, 8868122, 1642021, 192630, 241187, 17152243, 18098621, 1730334, 167559, 10563610, 260768, 1861853, 235294, 26111, 1046101, 1495123, 143888, 1026093, 182215, 1686232, 1175927, 1596672, 149262, 172891, 1084234, 1640993, 1731274, 4626, 31127, 161401, 284496, 280813, 255893, 1745028, 1149434, 7958034, 8126133, 204096, 242947, 1296449, 11143795, 2094602, 240545, 1583512, 1791575, 224716, 1179078, 185398, 53496, 52342, 54350, 24413, 3682, 4530, 4968, 4198, 23481, 819832, 833160, 821626, 780879, 820984, 812908, 3418, 3998, 4404, 4822, 5338, 19709, 24132, 159406, 45741, 44885, 226132, 59990, 172264, 572, 187133, 58451, 27210, 22885, 57782, 48476, 61714, 59789, 45618, 217357, 236096, 219659, 199906, 206239, 4789, 28704, 24917, 28278, 2988, 43722, 4481, 4521, 586, 3947, 430, 456
"Curto1998_purineMetabol", 342, 399, 391, 778, 355, 547, 1745, 696, 781, 1599, 1005, 346, 870, 1586, 752, 928, 2471, 798, 1532, 510, 1353, 817, 837, 826, 1296, 167, 1238, 842, 1406, 442, 2856, 268, 278, 876, 202, 183, 114, 418, 1577, 866, 1680, 944, 423, 418, 158, 436, 255, 379, 644, 713, 1270, 1452, 479, 700, 619, 1333, 782, 2275, 757, 1987, 1152, 363, 726, 951, 316, 718, 342, 446, 1013, 704, 568, 422, 758, 559, 188, 873, 402, 339, 250, 158, 795, 543, 552, 568, 120, 304, 916, 816, 287, 329, 1268, 1118, 416, 142, 1078, 332, 577, 302, 111, 379, 532, 184, 610, 195, 548, 538, 592, 346, 266, 728, 417, 363, 8, 132, 229, 242, 243, 302, 681, 550, 952, 889, 227, 357, 515, 1140, 356, 360, 420, 502, 336, 420, 346, 64, 53, 51, 50, 26, 22, 25, 25, 60, 636, 416, 430, 479, 546, 444, 72, 62, 48, 56, 62, 196, 164, 452, 193, 205, 293, 154, 296, 14, 340, 164, 131, 118, 162, 178, 220, 194, 244, 348, 395, 405, 447, 487, 79, 150, 190, 188, 80, 206, 101, 81, 35, 89, 40, 32
"Goldbeter1995_CircClock", 4, 6, 0, 22, 6, 8, 17, 14, 10, 6, 14, 14, 18, 22, 14, 18, 9, 18, 8, 12, 13, 7, 16, 5, 24, 7, 8, 18, 8, 21, 8, 13, 11, 10, 13, 6, 8, 12, 18, 18, 8, 24, 16, 9, 3, 0, 10, 5, 18, 16, 8, 22, 8, 5, 23, 16, 5, 12, 6, 8, 4, 4, 0, 6, 6, 0, 0, 0, 13, 18, 0, 7, 14, 7, 4, 10, 16, 12, 10, 9, 22, 9, 22, 15, 9, 15, 21, 17, 14, 10, 16, 16, 8, 6, 8, 14, 23, 14, 8, 6, 8, 6, 21, 13, 12, 14, 24, 11, 11, 14, 12, 12, 4, 10, 5, 14, 10, 18, 22, 16, 12, 21, 16, 18, 21, 14, 12, 14, 17, 10, 14, 13, 18, 7, 7, 7, 11, 7, 6, 6, 7, 12, 20, 20, 20, 13, 20, 20, 10, 10, 8, 8, 8, 16, 16, 24, 20, 13, 17, 16, 24, 8, 27, 10, 14, 14, 16, 20, 16, 16, 20, 21, 21, 25, 25, 21, 10, 17, 23, 16, 10, 20, 18, 18, 10, 18, 10, 10
"Morrison1989_FolateCycle", 686, 707, 705, 1044, 584, 1167, 4145, 1329, 2021, 6227, 2509, 835, 2884, 5430, 2058, 1956, 6342, 1962, 2024, 1186, 2909, 2017, 2380, 1711, 3784, 375, 2336, 2036, 3382, 695, 6724, 393, 651, 2543, 418, 345, 270, 1129, 2496, 2350, 3648, 1460, 893, 614, 219, 604, 506, 739, 1598, 983, 2746, 3898, 1223, 1667, 1314, 3432, 1657, 4435, 1767, 5641, 2078, 786, 1615, 2103, 625, 1317, 488, 792, 1960, 2324, 1184, 874, 1885, 1287, 351, 2079, 782, 377, 542, 200, 1713, 825, 1580, 1279, 145, 590, 1675, 1392, 553, 882, 4218, 2985, 904, 276, 2330, 803, 1461, 936, 249, 681, 1337, 398, 1249, 456, 1258, 1189, 1414, 539, 377, 986, 1390, 1005, 76, 239, 310, 716, 620, 482, 1207, 1214, 1843, 2139, 401, 686, 1051, 2891, 902, 590, 895, 995, 836, 736, 786, 322, 347, 248, 186, 123, 115, 113, 88, 236, 1576, 1040, 1392, 1071, 1666, 1676, 112, 88, 124, 141, 152, 312, 233, 640, 399, 343, 514, 414, 396, 54, 662, 344, 257, 236, 494, 304, 538, 529, 510, 765, 801, 675, 934, 865, 133, 260, 365, 361, 120, 464, 192, 143, 63, 159, 61, 48
"Leloup1999_CircClock", 0, 0, 8, 12, 0, 0, 8, 8, 0, 0, 12, 0, 32, 28, 0, 20, 8, 24, 8, 0, 14, 4, 0, 12, 0, 0, 12, 12, 48, 0, 8, 0, 0, 0, 0, 0, 0, 0, 24, 0, 16, 44, 0, 0, 0, 4, 0, 0, 0, 14, 0, 8, 0, 0, 0, 0, 0, 12, 0, 24, 16, 0, 4, 16, 0, 2, 2, 8, 6, 12, 28, 0, 4, 8, 0, 0, 0, 14, 6, 14, 40, 8, 20, 0, 6, 0, 8, 12, 16, 6, 8, 4, 4, 2, 8, 0, 0, 20, 0, 4, 8, 4, 36, 0, 0, 10, 36, 26, 10, 22, 4, 2, 4, 0, 6, 0, 0, 8, 14, 10, 18, 20, 0, 20, 12, 16, 8, 8, 12, 12, 20, 12, 44, 8, 10, 4, 6, 14, 6, 4, 6, 14, 24, 8, 20, 8, 28, 32, 19, 8, 8, 6, 4, 47, 20, 48, 29, 14, 6, 12, 8, 8, 26, 4, 6, 10, 20, 12, 12, 16, 44, 20, 14, 24, 59, 30, 8, 12, 35, 16, 30, 46, 27, 17, 11, 31, 21, 14
"Rohwer2001_Sucrose", 56, 87, 56, 54, 42, 56, 86, 148, 24, 18, 101, 84, 66, 60, 96, 140, 10, 90, 88, 55, 84, 10, 38, 21, 68, 56, 46, 96, 44, 34, 10, 47, 43, 73, 61, 42, 59, 62, 16, 29, 40, 36, 75, 33, 75, 11, 86, 59, 144, 45, 50, 70, 49, 21, 76, 76, 22, 51, 19, 20, 0, 52, 38, 59, 34, 18, 50, 44, 118, 108, 42, 27, 151, 22, 58, 36, 77, 25, 86, 67, 55, 42, 42, 51, 79, 50, 30, 69, 88, 62, 56, 64, 49, 48, 7, 60, 56, 44, 51, 6, 44, 44, 55, 55, 48, 49, 44, 47, 54, 11, 54, 62, 0, 71, 70, 74, 93, 107, 67, 55, 36, 22, 66, 81, 33, 36, 60, 100, 60, 77, 60, 77, 54, 3, 3, 5, 0, 3, 2, 2, 5, 4, 116, 132, 90, 150, 90, 52, 37, 50, 20, 34, 42, 42, 53, 20, 60, 90, 88, 52, 46, 0, 47, 83, 56, 42, 30, 90, 64, 50, 54, 54, 80, 74, 51, 68, 55, 64, 39, 48, 20, 34, 33, 39, 26, 22, 15, 18
"Scheper1999_CircClock", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 4, 2, 4, 2, 2, 2, 2, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 4, 6, 6, 4, 6, 4, 4
"Smolen2002_CircClock", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 4, 2, 4, 2, 2, 2, 2, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 4, 6, 6, 4, 6, 4, 4
"Markevich2004_MAPK_orderedElementary", 10, 12, 0, 0, 8, 2, 6, 8, 7, 0, 8, 12, 8, 0, 10, 8, 0, 8, 8, 12, 6, 0, 11, 0, 6, 8, 0, 8, 0, 0, 6, 7, 8, 2, 0, 2, 7, 2, 0, 2, 8, 0, 10, 2, 8, 8, 10, 2, 10, 10, 10, 0, 8, 0, 10, 2, 9, 5, 7, 0, 0, 7, 10, 0, 41, 7, 7, 0, 8, 10, 0, 41, 8, 7, 39, 11, 8, 7, 8, 7, 10, 8, 0, 6, 7, 36, 5, 10, 8, 8, 2, 2, 2, 2, 2, 12, 10, 8, 7, 2, 2, 2, 6, 7, 8, 8, 0, 0, 0, 0, 2, 2, 2, 32, 8, 10, 8, 12, 10, 6, 7, 5, 36, 12, 36, 11, 8, 10, 0, 12, 10, 8, 8, 2, 2, 2, 2, 2, 2, 2, 2, 2, 12, 12, 12, 10, 12, 12, 6, 6, 6, 6, 6, 6, 6, 6, 12, 10, 10, 12, 6, 4, 30, 10, 6, 6, 12, 12, 12, 12, 12, 10, 10, 10, 10, 10, 26, 31, 26, 31, 6, 12, 24, 24, 18, 20, 14, 14
"Markevich2004_MAPK_orderedMM", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 6, 6, 4, 6, 4, 4
"Markevich2005_MAPK_phosphoRandomElementary", 53, 94, 28, 52, 51, 45, 134, 116, 68, 58, 116, 68, 116, 134, 118, 116, 58, 116, 68, 98, 80, 30, 105, 28, 142, 43, 58, 116, 58, 40, 70, 27, 49, 79, 40, 24, 27, 45, 75, 37, 68, 52, 92, 20, 42, 42, 62, 45, 122, 59, 74, 134, 50, 35, 92, 79, 69, 93, 74, 50, 28, 74, 107, 58, 160, 53, 51, 28, 86, 122, 28, 157, 110, 75, 121, 104, 52, 28, 50, 28, 91, 51, 74, 74, 28, 115, 69, 91, 52, 52, 79, 79, 45, 24, 39, 68, 92, 52, 27, 20, 45, 24, 46, 40, 80, 50, 74, 40, 40, 40, 45, 45, 12, 82, 42, 58, 52, 71, 91, 46, 69, 68, 115, 71, 147, 104, 78, 65, 74, 94, 56, 53, 52, 36, 36, 36, 12, 12, 12, 12, 12, 12, 188, 188, 188, 152, 188, 188, 24, 24, 24, 24, 24, 24, 24, 24, 76, 64, 64, 76, 24, 8, 103, 64, 24, 24, 76, 76, 76, 76, 76, 64, 64, 64, 64, 64, 57, 79, 69, 78, 24, 76, 54, 54, 31, 47, 24, 24
"Markevich2005_MAPK_phosphoRandomMM", 0, 0, 3, 12, 0, 6, 0, 0, 0, 1, 0, 8, 0, 8, 6, 0, 2, 0, 0, 6, 0, 2, 6, 0, 8, 0, 8, 0, 8, 12, 0, 8, 6, 4, 8, 4, 5, 6, 12, 4, 0, 12, 0, 3, 0, 0, 4, 3, 6, 0, 4, 8, 0, 2, 12, 8, 0, 0, 0, 3, 8, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0, 0, 0, 0, 0, 6, 8, 0, 5, 12, 0, 12, 6, 5, 8, 6, 0, 4, 4, 8, 8, 6, 4, 4, 8, 12, 8, 5, 3, 6, 4, 6, 8, 6, 6, 12, 8, 8, 12, 6, 6, 4, 5, 0, 8, 4, 8, 12, 6, 0, 6, 8, 8, 0, 6, 0, 4, 6, 6, 8, 0, 8, 4, 4, 4, 8, 5, 5, 5, 5, 8, 8, 8, 8, 4, 8, 8, 6, 6, 6, 6, 6, 10, 10, 16, 10, 5, 8, 10, 16, 6, 16, 5, 10, 10, 10, 10, 10, 10, 10, 12, 12, 12, 12, 8, 6, 10, 15, 10, 6, 10, 12, 12, 7, 12, 7, 7
"Markevich2005_MAPK_AllRandomElementary", 88, 154, 44, 88, 80, 60, 248, 232, 118, 98, 232, 108, 232, 248, 240, 232, 90, 232, 184, 154, 172, 42, 198, 44, 248, 60, 108, 232, 108, 56, 160, 36, 80, 124, 56, 28, 36, 60, 124, 52, 184, 88, 146, 24, 60, 60, 96, 60, 240, 96, 192, 248, 84, 50, 146, 124, 124, 194, 122, 100, 44, 122, 200, 108, 240, 94, 80, 44, 180, 240, 44, 240, 204, 120, 170, 198, 84, 36, 84, 36, 146, 80, 120, 120, 36, 160, 114, 146, 88, 88, 124, 124, 60, 28, 52, 108, 146, 88, 36, 24, 60, 28, 76, 56, 128, 84, 120, 56, 56, 56, 60, 60, 12, 108, 60, 96, 84, 108, 146, 76, 118, 114, 160, 108, 224, 198, 128, 96, 120, 154, 96, 84, 88, 36, 36, 36, 12, 12, 12, 12, 12, 12, 304, 304, 304, 268, 304, 304, 32, 32, 32, 32, 32, 32, 32, 32, 112, 100, 100, 112, 32, 8, 144, 100, 32, 32, 112, 112, 112, 112, 112, 100, 100, 100, 100, 100, 72, 104, 92, 104, 32, 112, 68, 68, 36, 60, 28, 28
"Markevich2004_MAPK_orderedMM2kinases", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 4, 2, 4, 2, 2, 2, 2, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 4, 6, 6, 4, 6, 4, 4
